ID,Título,Enlace,Precio,Detalles,Descripción
106252967,"Piso en calle Ample, El Gòtic, Barcelona",https://www.idealista.com/inmueble/106252967/,789.000€,3 hab. | 155 m² | Planta 3ª exterior con ascensor,"Encantador piso en venta de 155m2, en una finca rehabilitada con ascensor, ubicado junto a Passeig de Colom y el Port Vell.
La vivienda dispone de un amplio y luminoso salón-comedor con acceso a un balcón con vistas a la calle. La cocina americana se integra armoniosamente al espacio y se encuentra completamente equipada con electrodomésticos de calidad. En la zona de noche se ubican dos dormitorios dobles en suite, y un tercer dormitorio doble, que dispone de un baño completo independiente. Completa la vivienda una zona de aguas. La propieda"
106475860,"Piso en calle de la Mercè, El Gòtic, Barcelona",https://www.idealista.com/inmueble/106475860/,765.000€,2 hab. | 110 m² | Entreplanta exterior con ascensor,"Apartamento de lujo en Passeig de Colom con vistas panorámicas de 180º al Port Marítim completamente reformado. Con una superficie construida de 110 m², esta propiedad ha sido completamente renovada y está lista para estrenarse. Este apartamento de alto nivel combina diseño contemporáneo con el encanto de un edificio neoclásico de 1875, cuidadosamente actualizado para conservar su arquitectura original.
La vivienda cuenta con dos dormitorios dobles, dos baños completos y un elegante recibidor que conduce a un amplio pasillo iluminado con vigas"
106344575,"Dúplex en calle d'Alfons XII, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/106344575/,1.595.000€,3 hab. | 195 m² | Planta 7ª exterior con ascensor,"Exclusivo ático dúplex en venta ubicado en Sant Gervasi-Galvany. Cuenta con una superficie interior de 154 m² y 83 m² de terrazas distribuidas en dos plantas, ofreciendo amplios y luminosos espacios. Su diseño moderno y elegante ha sido cuidadosamente rehabilitado con acabados de alta gama, brindando comodidad y lujo en cada detalle.
La primera planta cuenta con 100 m², donde encontramos la zona de noche, que incluye una suite principal con vestidor y acceso a terraza de 15 m², dos habitaciones dobles, una con salida a la misma terraza y otra"
106476051,"Piso en paseo de Colom, El Gòtic, Barcelona",https://www.idealista.com/inmueble/106476051/,1.275.000€,2 hab. | 131 m² | Planta 2ª exterior con ascensor,"Exclusivo piso de 131 m² en el Barrio Gótico de Barcelona, completamente reformado y amueblado. Esta elegante propiedad está situada en una finca regia de estilo modernista en perfecto estado y se encuentra en una cuarta planta real, accesible por ascensor, ofreciendo el máximo confort y calidad.
Al entrar, un amplio recibidor conduce a un espacioso salón comedor, decorado con calidez y buen gusto. Este salón incluye una cocina abierta equipada con electrodomésticos de alta gama y un balcón orientado al sur, con vistas despejadas al puerto. Lo"
106483261,"Ático en calle dels Valero, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/106483261/,2.500.000€,4 hab. | 280 m² | Planta 5ª exterior con ascensor,"Exclusivo ático de 280 m², a cuatro vientos, se encuentra a pocos pasos del Turó Park, en una finca neoclásica de los años 50. Rodeado de jardines y con un elegante vestíbulo de entrada, este edificio con solo cinco vecinos garantiza privacidad y tranquilidad, lo que lo convierte en un lugar único para vivir.
El ascensor te lleva directamente a un recibidor privado que da acceso a un amplio salón con techos abuhardillados de 4 metros de altura y suelos de madera natural. Desde el salón se accede a una terraza de 20 m², perfecta para disfrutar"
104224046,"Ático en calle dels Almogàvers, El Parc i la Llacuna del Poblenou, Barcelona",https://www.idealista.com/inmueble/104224046/,1.690.000€,4 hab. | 277 m² | Planta 7ª exterior con ascensor,"Exclusivo ático de diseño con terraza panorámica en el corazón de Barcelona.
Ático dúplex de 256 m2 construidos interiores y terraza de 42 m2, rehabilitado integralmente con materiales de primera calidad. Se sitúa al lado del Parc del Nord, un punto estratégico entre Eixample y Poblenou, también muy cerca del Parc de la Ciutadella y El Born, a 15-20 minutos andando de Plaza Catalunya y el Paseo de Gracia, y a un paseo de la playa.
Este ático se sitúa en las plantas 6 y 7 del edificio, con escaleras interiores que las comunican y también ent"
104767092,"Chalet pareado en calle de Sant Gervasi de Cassoles, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/inmueble/104767092/,1.995.000€,5 hab. | 485 m²,"Les presentamos esta preciosa casa de estilo contemporáneo con cinco plantas más garaje. Data de 2008 y destaca por su luminosidad, amplitud, estilo y sencillez. Se sitúa en el distrito de Sant Gervasi-Bonanova, por lo que está rodeada de comercios selectos, el mercado de Sant Gervasi, buenos restaurantes y los mejores colegios de la zona.
A pie de calle encontramos un cómodo garaje privado para hasta tres vehículos en el que se incluye una plataforma rotatoria y un enorme trastero ideal como almacenaje.
En la primera planta disponemos de u"
103362877,"Piso en calle de Balmes, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/inmueble/103362877/,995.000€,5 hab. | 264 m² | Planta 2ª exterior con ascensor,"Propiedad de 248 m2 según catastro, totalmente reformada hace un año y medio. la zona de día cuenta con un amplio salón-comedor de 60 m2, con chimenea e iluminado por dos grandes ventanales con acceso a un balcón con vistas a la calle. La cocina office cuenta con dos accesos, uno desde el salón y otro desde el vestíbulo. Además, dispone de una zona de comedor. En la zona del vestíbulo, encontrarás un práctico trastero y un cuarto de lavandería.
Desde el pasillo, accedes a la zona de descanso, con otra sala de estar adicional. El piso dispone de"
106117900,"Piso en calle de Muntaner, L'Antiga Esquerra de l'Eixample, Barcelona",https://www.idealista.com/inmueble/106117900/,990.000€,3 hab. | 109 m² | Planta 3ª exterior con ascensor,"Precioso piso a estrenar, se encuentra en una finca regia esquinera en excelente estado, con orientación sur que garantiza luz natural durante todo el día. Con una superficie construida de 109 m², esta vivienda en la cuarta planta real ofrece un entorno espacioso y confortable, ideal para quienes buscan una propiedad elegante y moderna.
Totalmente reformada con acabados de alta calidad, la vivienda cuenta con un amplio salón comedor con acceso a dos balcones, lo que otorga luminosidad y amplitud a la estancia. La cocina semiabierta está comple"
102492657,"Ático en calle de Vidal i de Valenciano, El Poblenou, Barcelona",https://www.idealista.com/inmueble/102492657/,1.900.000€,2 hab. | 184 m² | Planta 14ª exterior con ascensor,"Extraordinario ático con terraza y vistas al mar y Barcelona.
Este fabuloso ático destaca por su fantástica terraza y sus espectaculares vistas panorámicas al mar y a la ciudad de Barcelona desde el salón y las habitaciones. Se encuentra en la 14ª planta de un edificio moderno en primera línea de mar, con 2 plazas de parking y trastero incluidos en el precio, en el barrio del Poblenou, a pocos pasos de la playa de la Mar Bella.
El inmueble tiene 152 m2 construidos y 32 m2 de elementos comunes según Catastro, más una terraza de 30 m2. Fue refo"
